,date,close,open,high,low,volume,change,time_series,1MA,5MA,12MA,20MA,26MA,60MA,datetime
93,2020年5月19日,291.97,294.32,296.19,291.97,95.19,-1.03,1589817600.0,291.97,295.65999999999997,302.19083333333333,306.6725,307.39576923076925,315.3008333333333,2020-05-19
94,2020年5月20日,296.93,295.86,297.86,295.59,85.86,1.7,1589904000.0,296.93,297.972,304.47166666666664,307.65700000000004,307.9873076923077,316.04850000000005,2020-05-20
95,2020年5月21日,294.88,296.71,297.67,293.7,78.29,-0.69,1589990400.0,294.88,299.17999999999995,306.6608333333333,308.3995,308.1073076923077,316.7136666666667,2020-05-21
96,2020年5月22日,295.44,294.57,295.63,293.22,63.96,0.19,1590076800.0,295.44,301.068,308.82,309.0875,308.4757692307693,317.4308333333334,2020-05-22
97,2020年5月26日,299.08,302.18,302.18,298.73,88.95,1.23,1590422400.0,299.08,303.09,310.7833333333333,309.8465,308.9726923076923,318.15083333333337,2020-05-26
98,2020年5月27日,303.53,302.08,303.53,296.9,104.82,1.49,1590508800.0,303.53,304.89,310.9108333333333,310.495,309.4126923076923,318.7866666666667,2020-05-27
99,2020年5月28日,302.97,304.76,306.8,302.29,90.77,-0.18,1590595200.0,302.97,306.62,310.96750000000003,310.523,309.7473076923077,319.3658333333333,2020-05-28
100,2020年5月29日,304.32,302.46,304.96,299.47,119.27,0.45,1590681600.0,304.32,308.29800000000006,311.30750000000006,310.742,310.2888461538461,319.97433333333333,2020-05-29
101,2020年6月1日,305.55,303.6,306.2,303.07,56.78,0.4,1590940800.0,305.55,311.302,312.02750000000003,310.52850000000007,310.6526923076923,320.61766666666665,2020-06-01
102,2020年6月2日,308.08,306.54,308.1,305.14,74.27,0.83,1591027200.0,308.08,314.832,312.5366666666667,310.47400000000005,311.0615384615384,321.2605,2020-06-02
103,2020年6月3日,312.18,310.33,313.16,309.96,92.57,1.33,1591113600.0,312.18,317.37399999999997,312.84499999999997,310.488,311.30384615384617,321.9186666666666,2020-06-03
104,2020年6月4日,311.36,311.06,313.0,309.1,75.79,-0.26,1591200000.0,311.36,318.738,312.55,310.40500000000003,311.5119230769231,322.52116666666666,2020-06-04
105,2020年6月5日,319.34,317.23,321.27,317.16,150.52,2.56,1591286400.0,319.34,316.588,312.4883333333333,310.44849999999997,311.64576923076925,323.17483333333337,2020-06-05
106,2020年6月8日,323.2,320.22,323.27,319.63,73.64,1.21,1591545600.0,323.2,313.562,311.8808333333333,310.33399999999995,311.6296153846154,323.6743333333334,2020-06-08
107,2020年6月9日,320.79,320.3,322.36,319.38,77.48,-0.75,1591632000.0,320.79,310.332,310.28833333333336,309.863,311.5776923076923,324.1643333333334,2020-06-09
108,2020年6月10日,319.0,321.53,322.38,318.25,95.0,-0.56,1591718400.0,319.0,308.76599999999996,309.16833333333335,309.63250000000005,311.5776923076923,324.77950000000004,2020-06-10
109,2020年6月11日,300.61,310.95,312.03,300.04,209.24,-5.76,1591804800.0,300.61,307.298,307.5891666666667,309.4015,311.68230769230775,325.21933333333334,2020-06-11
110,2020年6月12日,304.21,308.24,309.08,298.6,194.68,1.2,1591891200.0,304.21,309.53200000000004,307.91,310.2505,312.59423076923076,325.91866666666664,2020-06-12
111,2020年6月15日,307.05,298.03,308.23,296.77,135.78,0.93,1592150400.0,307.05,310.418,308.2558333333334,310.78200000000004,313.3942307692308,326.402,2020-06-15
112,2020年6月16日,312.96,315.34,315.61,307.93,137.63,1.92,1592236800.0,312.96,311.13199999999995,308.545,311.37550000000005,314.1561538461538,326.9476666666667,2020-06-16
113,2020年6月17日,311.66,314.04,314.37,311.04,83.4,-0.42,1592323200.0,311.66,310.95,308.4841666666667,311.82000000000005,314.54076923076923,327.29650000000004,2020-06-17
114,2020年6月18日,311.78,309.93,312.27,309.61,80.83,0.04,1592409600.0,311.78,309.436,308.93333333333334,312.27650000000006,314.8953846153846,327.6698333333334,2020-06-18
115,2020年6月19日,308.64,314.17,314.38,306.53,135.55,-1.01,1592496000.0,308.64,308.55,309.09999999999997,312.7735,315.33538461538467,328.11449999999996,2020-06-19
116,2020年6月22日,310.62,307.95,311.04,306.81,74.65,0.64,1592755200.0,310.62,306.832,309.72833333333335,313.5575,315.8173076923077,328.64,2020-06-22
117,2020年6月23日,312.05,313.42,314.46,311.62,68.47,0.46,1592841600.0,312.05,305.6,310.04166666666663,314.277,316.37500000000006,329.1099999999999,2020-06-23
118,2020年6月24日,304.09,309.78,310.48,302.13,132.81,-2.55,1592928000.0,304.09,304.86199999999997,310.5033333333333,315.01750000000004,316.83307692307693,329.5064999999999,2020-06-24
119,2020年6月25日,307.35,303.28,307.61,301.34,89.47,1.07,1593014400.0,307.35,306.148,311.3991666666667,315.96099999999996,317.69576923076926,329.94916666666666,2020-06-25
120,2020年6月26日,300.05,306.16,306.39,299.42,127.96,-2.38,1593100800.0,300.05,307.12399999999997,312.3633333333334,316.6375,318.5203846153846,330.2761666666667,2020-06-26
121,2020年6月29日,304.46,301.41,304.46,299.04,79.77,1.47,1593360000.0,304.46,310.524,314.18,317.796,319.67461538461544,330.7803333333333,2020-06-29
