"日期","收市","開市","高","低","成交量","更改%"
"2015年6月22日","211.89","211.91","212.59","211.64","70.70M","0.51%"
"2015年6月19日","210.81","211.46","211.55","210.36","130.48M","-0.93%"
"2015年6月18日","212.78","211.31","213.34","210.63","165.87M","1.04%"
"2015年6月17日","210.59","210.59","211.32","209.36","126.71M","0.16%"
"2015年6月16日","210.25","208.93","210.35","208.72","85.31M","0.55%"
"2015年6月15日","209.11","208.64","209.45","207.79","124.38M","-0.43%"
"2015年6月12日","210.01","210.64","211.48","209.68","135.38M","-0.77%"
"2015年6月11日","211.63","211.48","212.09","211.20","73.88M","0.32%"
"2015年6月10日","210.95","209.37","211.41","209.30","134.55M","1.20%"
"2015年6月9日","208.45","208.45","209.10","207.69","105.03M","-0.01%"
"2015年6月8日","208.48","209.64","209.82","208.39","89.06M","-0.61%"
